State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Georgia,Quitman ,Quitman,GeorgiaQuitman,35.4,7.1
Georgia,Rabun ,Rabun,GeorgiaRabun,33.1,24.2
Georgia,Randolph ,Randolph,GeorgiaRandolph,35.8,10.3
Georgia,Richmond ,Richmond,GeorgiaRichmond,31.4,21.4
Georgia,Rockdale ,Rockdale,GeorgiaRockdale,31.5,26.3
Georgia,Schley ,Schley,GeorgiaSchley,34.8,13.3
Georgia,Screven ,Screven,GeorgiaScreven,41.5,15.4
Georgia,Seminole ,Seminole,GeorgiaSeminole,38.3,16.2
Georgia,Spalding ,Spalding,GeorgiaSpalding,39.8,17.8
Georgia,Stephens ,Stephens,GeorgiaStephens,38.6,21
Georgia,Stewart ,Stewart,GeorgiaStewart,36.4,12.2
Georgia,Sumter ,Sumter,GeorgiaSumter,34.7,18.3
Georgia,Talbot ,Talbot,GeorgiaTalbot,45.5,12.1
Georgia,Taliaferro ,Taliaferro,GeorgiaTaliaferro,46.2,8.1
Georgia,Tattnall ,Tattnall,GeorgiaTattnall,38.1,13.2
Georgia,Taylor ,Taylor,GeorgiaTaylor,37.5,12.6
Georgia,Telfair ,Telfair,GeorgiaTelfair,47.2,8.6
Georgia,Terrell ,Terrell,GeorgiaTerrell,32.3,11.2
Georgia,Thomas ,Thomas,GeorgiaThomas,31.5,24.7
Georgia,Tift ,Tift,GeorgiaTift,34.7,18.1
Georgia,Toombs ,Toombs,GeorgiaToombs,37.5,16.2
Georgia,Towns ,Towns,GeorgiaTowns,29.9,30.1
Georgia,Treutlen ,Treutlen,GeorgiaTreutlen,40.8,12.4
Georgia,Troup ,Troup,GeorgiaTroup,35.1,19
Georgia,Turner ,Turner,GeorgiaTurner,38,11.7
Georgia,Twiggs ,Twiggs,GeorgiaTwiggs,38.5,11.8
Georgia,Union ,Union,GeorgiaUnion,34,22.5
Georgia,Upson ,Upson,GeorgiaUpson,38.4,13.4
Georgia,Walker ,Walker,GeorgiaWalker,35.2,16.6
Georgia,Walton ,Walton,GeorgiaWalton,36,21.7
Georgia,Ware ,Ware,GeorgiaWare,39.2,15.2
Georgia,Warren ,Warren,GeorgiaWarren,39.8,12.3
Georgia,Washington ,Washington,GeorgiaWashington,44.7,12.3
Georgia,Wayne ,Wayne,GeorgiaWayne,42,13
Georgia,Webster ,Webster,GeorgiaWebster,40.7,14.7
Georgia,Wheeler ,Wheeler,GeorgiaWheeler,50.5,13.6
Georgia,White ,White,GeorgiaWhite,30.9,22.7
Georgia,Whitfield ,Whitfield,GeorgiaWhitfield,29.4,15.7
Georgia,Wilcox ,Wilcox,GeorgiaWilcox,45.6,12.2
Georgia,Wilkes ,Wilkes,GeorgiaWilkes,44,13.8
Georgia,Wilkinson ,Wilkinson,GeorgiaWilkinson,50.3,10.9
Georgia,Worth ,Worth,GeorgiaWorth,42.7,11
Hawaii,Hawaii,Hawaii,HawaiiHawaii,27.4,33
Hawaii,Hawaii ,Hawaii,HawaiiHawaii,30.2,29.4
Hawaii,Honolulu ,Honolulu,HawaiiHonolulu,25.9,35
Hawaii,Kalawao ,Kalawao,HawaiiKalawao,27.4,24.2
Hawaii,Kauai ,Kauai,HawaiiKauai,30,29.2
Hawaii,Maui ,Maui,HawaiiMaui,31.3,27.2
