,State,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
250,Colorado,Colorado,Colorado,ColoradoColorado,2895473,226764
251,Colorado,"Adams County, CO",Adams,ColoradoAdams,252469,22029
252,Colorado,"Alamosa County, CO",Alamosa,ColoradoAlamosa,7868,535
253,Colorado,"Arapahoe County, CO",Arapahoe,ColoradoArapahoe,337943,28825
254,Colorado,"Archuleta County, CO",Archuleta,ColoradoArchuleta,6585,538
255,Colorado,"Baca County, CO",Baca,ColoradoBaca,2082,50
256,Colorado,"Bent County, CO",Bent,ColoradoBent,1748,80
257,Colorado,"Boulder County, CO",Boulder,ColoradoBoulder,180992,11887
258,Colorado,"Broomfield County/city, CO",Broomfield,ColoradoBroomfield,37556,2670
259,Colorado,"Chaffee County, CO",Chaffee,ColoradoChaffee,9126,615
260,Colorado,"Cheyenne County, CO",Cheyenne,ColoradoCheyenne,1076,27
261,Colorado,"Clear Creek County, CO",Clear,ColoradoClear,5628,523
262,Colorado,"Conejos County, CO",Conejos,ColoradoConejos,3844,227
263,Colorado,"Costilla County, CO",Costilla,ColoradoCostilla,1691,132
264,Colorado,"Crowley County, CO",Crowley,ColoradoCrowley,1445,83
265,Colorado,"Custer County, CO",Custer,ColoradoCuster,1982,105
266,Colorado,"Delta County, CO",Delta,ColoradoDelta,13400,940
267,Colorado,"Denver County/city, CO",Denver,ColoradoDenver,388924,34900
268,Colorado,"Dolores County, CO",Dolores,ColoradoDolores,1059,78
269,Colorado,"Douglas County, CO",Douglas,ColoradoDouglas,183412,11237
270,Colorado,"Eagle County, CO",Eagle,ColoradoEagle,32319,3389
271,Colorado,"Elbert County, CO",Elbert,ColoradoElbert,14264,697
272,Colorado,"El Paso County, CO",El,ColoradoEl,319084,25036
273,Colorado,"Fremont County, CO",Fremont,ColoradoFremont,14203,1190
274,Colorado,"Garfield County, CO",Garfield,ColoradoGarfield,29606,2156
275,Colorado,"Gilpin County, CO",Gilpin,ColoradoGilpin,3562,454
276,Colorado,"Grand County, CO",Grand,ColoradoGrand,8576,788
277,Colorado,"Gunnison County, CO",Gunnison,ColoradoGunnison,10596,751
278,Colorado,"Hinsdale County, CO",Hinsdale,ColoradoHinsdale,408,18
279,Colorado,"Huerfano County, CO",Huerfano,ColoradoHuerfano,2395,249
280,Colorado,"Jackson County, CO",Jackson,ColoradoJackson,900,40
281,Colorado,"Jefferson County, CO",Jefferson,ColoradoJefferson,310057,23625
