,State,Area name,First Word of Each County,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
471,Illinois,Christian ,Christian,41.8,17.1
472,Illinois,Clark ,Clark,40.0,19.9
473,Illinois,Clay ,Clay,38.6,15.0
474,Illinois,Clinton ,Clinton,31.9,22.3
475,Illinois,Coles ,Coles,30.5,26.0
476,Illinois,Cook ,Cook,23.1,38.8
477,Illinois,Crawford ,Crawford,28.6,17.1
478,Illinois,Cumberland ,Cumberland,40.1,15.4
479,Illinois,DeKalb ,DeKalb,24.9,32.3
480,Illinois,De Witt ,De,37.8,21.3
481,Illinois,Douglas ,Douglas,33.4,18.9
482,Illinois,DuPage ,DuPage,18.2,49.4
483,Illinois,Edgar ,Edgar,37.3,17.2
484,Illinois,Edwards ,Edwards,34.5,13.9
485,Illinois,Effingham ,Effingham,35.8,22.7
486,Illinois,Fayette ,Fayette,40.2,11.3
487,Illinois,Ford ,Ford,35.5,21.4
488,Illinois,Franklin ,Franklin,33.0,16.7
489,Illinois,Fulton ,Fulton,34.5,17.6
490,Illinois,Gallatin ,Gallatin,39.8,10.9
491,Illinois,Greene ,Greene,47.6,12.8
492,Illinois,Grundy ,Grundy,33.8,22.9
493,Illinois,Hamilton ,Hamilton,34.9,17.0
494,Illinois,Hancock ,Hancock,36.6,21.0
495,Illinois,Hardin ,Hardin,32.3,10.8
496,Illinois,Henderson ,Henderson,41.7,18.3
497,Illinois,Henry ,Henry,33.7,23.3
498,Illinois,Iroquois ,Iroquois,39.8,15.9
499,Illinois,Jackson ,Jackson,24.1,34.1
500,Illinois,Jasper ,Jasper,39.1,16.6
501,Illinois,Jefferson ,Jefferson,30.6,17.9
502,Illinois,Jersey ,Jersey,38.8,20.3
503,Illinois,Jo Daviess ,Jo,35.9,25.0
504,Illinois,Johnson ,Johnson,31.6,16.0
505,Illinois,Kane ,Kane,22.7,33.1
506,Illinois,Kankakee ,Kankakee,34.4,20.8
507,Illinois,Kendall ,Kendall,22.9,36.2
508,Illinois,Knox ,Knox,36.6,18.9
509,Illinois,Lake ,Lake,20.8,45.3
510,Illinois,La Salle ,La,35.6,17.8
511,Illinois,Lawrence ,Lawrence,34.7,14.9
512,Illinois,Lee ,Lee,33.8,18.2
513,Illinois,Livingston ,Livingston,44.7,14.8
514,Illinois,Logan ,Logan,35.3,19.9
515,Illinois,McDonough ,McDonough,31.2,32.2
516,Illinois,McHenry ,McHenry,26.5,34.4
517,Illinois,McLean ,McLean,24.6,44.8
518,Illinois,Macon ,Macon,35.4,22.1
519,Illinois,Macoupin ,Macoupin,39.8,18.4
520,Illinois,Madison ,Madison,29.8,26.8
521,Illinois,Marion ,Marion,35.2,15.2
522,Illinois,Marshall ,Marshall,39.4,18.9
523,Illinois,Mason ,Mason,42.8,16.0
524,Illinois,Massac ,Massac,33.6,13.9
525,Illinois,Menard ,Menard,35.8,24.0
526,Illinois,Mercer ,Mercer,39.6,17.4
527,Illinois,Monroe ,Monroe,27.6,35.0
528,Illinois,Montgomery ,Montgomery,39.3,16.7
529,Illinois,Morgan ,Morgan,40.2,19.3
530,Illinois,Moultrie ,Moultrie,33.4,18.6
531,Illinois,Ogle ,Ogle,33.4,21.4
532,Illinois,Peoria ,Peoria,27.6,30.6
533,Illinois,Perry ,Perry,36.6,12.5
534,Illinois,Piatt ,Piatt,33.9,28.6
