,State,County,First Word of Each County,Year,Max AQI,90th Percentile AQI,Median AQI
506,Montana,Yellowstone,Yellowstone,2020,160,48,23
507,Nebraska,Cass,Cass,2020,71,32,14
508,Nebraska,Douglas,Douglas,2020,156,55,36
509,Nebraska,Hall,Hall,2020,85,43,20
510,Nebraska,Knox,Knox,2020,84,48,35
511,Nebraska,Lancaster,Lancaster,2020,74,45,30
512,Nebraska,Sarpy,Sarpy,2020,149,52,29
513,Nebraska,Scotts Bluff,Scotts,2020,122,55,27
514,Nebraska,Thomas,Thomas,2020,71,29,11
515,Nebraska,Washington,Washington,2020,72,42,23
516,Nevada,Carson City,Carson,2020,192,67,41
517,Nevada,Churchill,Churchill,2020,147,50,40
518,Nevada,Clark,Clark,2020,174,93,61
519,Nevada,Douglas,Douglas,2020,249,60,17
520,Nevada,Elko,Elko,2020,154,47,18
521,Nevada,Lyon,Lyon,2020,331,59,38
522,Nevada,Nye,Nye,2020,200,40,21
523,Nevada,Washoe,Washoe,2020,240,85,46
524,Nevada,White Pine,White,2020,136,61,44
525,New Hampshire,Belknap,Belknap,2020,61,43,30
526,New Hampshire,Cheshire,Cheshire,2020,75,47,35
