,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
266,Indiana,Hamilton,Hamilton,IndianaHamilton,2020,97,54,38
267,Indiana,Hendricks,Hendricks,IndianaHendricks,2020,87,45,32
268,Indiana,Henry,Henry,IndianaHenry,2020,63,51,29
269,Indiana,Howard,Howard,IndianaHoward,2020,108,53,38
270,Indiana,Knox,Knox,IndianaKnox,2020,105,48,33
271,Indiana,LaPorte,LaPorte,IndianaLaPorte,2020,154,61,37
272,Indiana,Lake,Lake,IndianaLake,2020,136,65,44
273,Indiana,Madison,Madison,IndianaMadison,2020,97,55,39
274,Indiana,Marion,Marion,IndianaMarion,2020,144,68,48
275,Indiana,Monroe,Monroe,IndianaMonroe,2020,69,51,31
276,Indiana,Perry,Perry,IndianaPerry,2020,105,45,34
277,Indiana,Porter,Porter,IndianaPorter,2020,151,67,41
278,Indiana,Posey,Posey,IndianaPosey,2020,112,45,31
279,Indiana,Shelby,Shelby,IndianaShelby,2020,115,46,32
280,Indiana,Spencer,Spencer,IndianaSpencer,2020,63,53,32
281,Indiana,St. Joseph,St.,IndianaSt.,2020,162,62,41
282,Indiana,Sullivan,Sullivan,IndianaSullivan,2020,53,51,29
283,Indiana,Tippecanoe,Tippecanoe,IndianaTippecanoe,2020,69,56,39
284,Indiana,Vanderburgh,Vanderburgh,IndianaVanderburgh,2020,101,57,39
285,Indiana,Vigo,Vigo,IndianaVigo,2020,112,57,40
286,Indiana,Wabash,Wabash,IndianaWabash,2020,97,49,35
287,Indiana,Warrick,Warrick,IndianaWarrick,2020,112,47,33
288,Indiana,Whitley,Whitley,IndianaWhitley,2020,76,56,39
289,Iowa,Black Hawk,Black,IowaBlack,2020,91,53,32
290,Iowa,Bremer,Bremer,IowaBremer,2020,87,45,35
291,Iowa,Cerro Gordo,Cerro,IowaCerro,2020,60,37,18
292,Iowa,Clinton,Clinton,IowaClinton,2020,87,56,37
293,Iowa,Harrison,Harrison,IowaHarrison,2020,87,49,37
294,Iowa,Johnson,Johnson,IowaJohnson,2020,105,58,35
295,Iowa,Lee,Lee,IowaLee,2020,73,52,30
296,Iowa,Linn,Linn,IowaLinn,2020,105,60,40
297,Iowa,Montgomery,Montgomery,IowaMontgomery,2020,76,51,35
298,Iowa,Muscatine,Muscatine,IowaMuscatine,2020,124,54,30
299,Iowa,Palo Alto,Palo,IowaPalo,2020,87,51,36
300,Iowa,Polk,Polk,IowaPolk,2020,186,54,36
301,Iowa,Pottawattamie,Pottawattamie,IowaPottawattamie,2020,77,52,31
302,Iowa,Scott,Scott,IowaScott,2020,155,63,44
303,Iowa,Van Buren,Van,IowaVan,2020,87,49,36
304,Iowa,Woodbury,Woodbury,IowaWoodbury,2020,79,50,29
305,Kansas,Chase,Chase,KansasChase,2020,58,38,18
306,Kansas,Ford,Ford,KansasFord,2020,79,29,11
307,Kansas,Johnson,Johnson,KansasJohnson,2020,117,56,36
308,Kansas,Leavenworth,Leavenworth,KansasLeavenworth,2020,77,44,32
309,Kansas,Neosho,Neosho,KansasNeosho,2020,106,54,39
310,Kansas,Sedgwick,Sedgwick,KansasSedgwick,2020,114,54,38
311,Kansas,Shawnee,Shawnee,KansasShawnee,2020,169,58,39
312,Kansas,Sherman,Sherman,KansasSherman,2020,106,44,13
313,Kansas,Sumner,Sumner,KansasSumner,2020,117,59,40
314,Kansas,Trego,Trego,KansasTrego,2020,147,51,37
315,Kansas,Wyandotte,Wyandotte,KansasWyandotte,2020,116,63,44
316,Kentucky,Bell,Bell,KentuckyBell,2020,71,46,33
317,Kentucky,Boone,Boone,KentuckyBoone,2020,87,50,36
318,Kentucky,Boyd,Boyd,KentuckyBoyd,2020,88,51,36
