,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Unnamed: 0,county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
91,Colorado,Mesa,ColoradoMesa,108,58,44,27.6,28.2,69917,5634,74027,75971,39.1,149998,1887,Mesa,Colorado,85368.0,53344.0,30106.0,51971.0,1350.0,33.8,18.4,23.7,12.5,11.6,6.2,20.2
92,Colorado,Montezuma,ColoradoMontezuma,126,58,44,29.3,29.6,11795,908,12760,13149,44.4,25909,1955,Montezuma,Colorado,15421.0,9267.0,5802.0,45645.0,3355.0,31.8,22.4,22.7,12.3,10.7,8.5,22.0
93,Colorado,Pitkin,ColoradoPitkin,68,33,12,17.0,60.8,10077,1176,9408,8501,42.0,17909,2253,Pitkin,Colorado,11829.0,2739.0,8906.0,67755.0,7367.0,41.6,22.2,22.3,7.5,6.4,12.7,17.5
94,Colorado,Prowers,ColoradoProwers,238,42,17,26.1,18.3,5937,276,6035,6017,38.0,12052,2321,Prowers,Colorado,5507.0,3977.0,1438.0,41740.0,2550.0,32.9,19.0,22.7,16.3,9.1,7.0,13.8
95,Colorado,Pueblo,ColoradoPueblo,63,45,19,29.1,21.8,71037,6318,80962,83723,38.9,164685,2322,Pueblo,Colorado,86760.0,41502.0,43070.0,42386.0,1201.0,31.3,21.4,25.6,9.6,12.1,2.9,21.8
96,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,3291,3174,35.9,6465,2404,Rio,Colorado,3672.0,3047.0,557.0,57991.0,8135.0,27.8,16.4,18.4,25.3,12.2,7.0,17.3
97,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,3291,3174,35.9,6465,2405,Rio,Colorado,6280.0,3645.0,2488.0,38534.0,3781.0,27.8,16.9,23.7,20.7,10.9,3.6,17.4
98,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,5696,5655,41.5,11351,2404,Rio,Colorado,3672.0,3047.0,557.0,57991.0,8135.0,27.8,16.4,18.4,25.3,12.2,7.0,17.3
99,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160,5696,5655,41.5,11351,2405,Rio,Colorado,6280.0,3645.0,2488.0,38534.0,3781.0,27.8,16.9,23.7,20.7,10.9,3.6,17.4
100,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,3291,3174,35.9,6465,2404,Rio,Colorado,3672.0,3047.0,557.0,57991.0,8135.0,27.8,16.4,18.4,25.3,12.2,7.0,17.3
101,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,3291,3174,35.9,6465,2405,Rio,Colorado,6280.0,3645.0,2488.0,38534.0,3781.0,27.8,16.9,23.7,20.7,10.9,3.6,17.4
102,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,5696,5655,41.5,11351,2404,Rio,Colorado,3672.0,3047.0,557.0,57991.0,8135.0,27.8,16.4,18.4,25.3,12.2,7.0,17.3
103,Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385,5696,5655,41.5,11351,2405,Rio,Colorado,6280.0,3645.0,2488.0,38534.0,3781.0,27.8,16.9,23.7,20.7,10.9,3.6,17.4
104,Colorado,Routt,ColoradoRoutt,68,29,14,20.2,49.8,14929,1277,12915,11959,39.8,24874,2442,Routt,Colorado,16767.0,5883.0,10523.0,67472.0,4036.0,34.2,24.3,23.0,11.3,7.2,9.2,17.9
