County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Calhoun,Florida,FloridaCalhoun,8048,6396,40.2,14444
Charlotte,Florida,FloridaCharlotte,86278,90676,58.6,176954
Citrus,Florida,FloridaCitrus,69376,73711,56.2,143087
Clay,Florida,FloridaClay,102225,105066,39.5,207291
Collier,Florida,FloridaCollier,179336,184586,50.3,363922
Columbia,Florida,FloridaColumbia,35683,33422,40.7,69105
DeSoto,Florida,FloridaDeSoto,20657,15742,40.6,36399
Dixie,Florida,FloridaDixie,9218,7219,47.3,16437
Duval,Florida,FloridaDuval,448163,476066,36.1,924229
Escambia,Florida,FloridaEscambia,154520,157002,37.2,311522
Flagler,Florida,FloridaFlagler,51187,55952,50.9,107139
Franklin,Florida,FloridaFranklin,6714,5022,45,11736
Gadsden,Florida,FloridaGadsden,21785,24232,40.7,46017
Gilchrist,Florida,FloridaGilchrist,9249,8366,42.5,17615
Glades,Florida,FloridaGlades,7303,6060,47.2,13363
Gulf,Florida,FloridaGulf,9586,6469,44.3,16055
Hamilton,Florida,FloridaHamilton,8281,5988,41.5,14269
Hardee,Florida,FloridaHardee,14705,12523,35.1,27228
Hendry,Florida,FloridaHendry,21437,18690,33.9,40127
Hernando,Florida,FloridaHernando,87747,94949,48.9,182696
Highlands,Florida,FloridaHighlands,49727,52374,53.4,102101
Hillsborough,Florida,FloridaHillsborough,673286,705597,36.9,1378883
Holmes,Florida,FloridaHolmes,10484,8946,42.5,19430
Indian,Florida,FloridaIndian,72290,78694,52.9,150984
Jackson,Florida,FloridaJackson,26784,21688,41.6,48472
Jefferson,Florida,FloridaJefferson,7507,6598,47.2,14105
Lafayette,Florida,FloridaLafayette,5066,3678,39.1,8744
Lake,Florida,FloridaLake,162402,172960,46.8,335362
Lee,Florida,FloridaLee,351918,366761,48.1,718679
Leon,Florida,FloridaLeon,136894,151208,30.7,288102
Levy,Florida,FloridaLevy,19364,20597,46.8,39961
Liberty,Florida,FloridaLiberty,5110,3255,40.3,8365
Madison,Florida,FloridaMadison,9829,8645,42.9,18474
Manatee,Florida,FloridaManatee,180595,193258,48,373853
Marion,Florida,FloridaMarion,167211,181160,48.6,348371
Martin,Florida,FloridaMartin,78002,79579,51.9,157581
Miami-Dade,Florida,FloridaMiami-Dade,1318627,1396889,39.7,2715516
Monroe,Florida,FloridaMonroe,39822,36503,47.3,76325
Nassau,Florida,FloridaNassau,39956,40622,45,80578
Okaloosa,Florida,FloridaOkaloosa,101745,98992,36.8,200737
Okeechobee,Florida,FloridaOkeechobee,21866,18706,41.1,40572
Orange,Florida,FloridaOrange,648446,672748,34.9,1321194
Osceola,Florida,FloridaOsceola,166820,171799,35.8,338619
Palm,Florida,FloridaPalm,701207,745070,44.6,1446277
Pasco,Florida,FloridaPasco,248572,262021,44.6,510593
Pinellas,Florida,FloridaPinellas,459766,498109,47.8,957875
Polk,Florida,FloridaPolk,327706,340965,40.3,668671
Putnam,Florida,FloridaPutnam,35841,36925,45,72766
St.Johns,Florida,FloridaSt.Johns,114660,120843,43.4,235503
St.Lucie,Florida,FloridaSt.Lucie,149385,156206,44.8,305591
Santa,Florida,FloridaSanta,87175,83267,39.7,170442
Sarasota,Florida,FloridaSarasota,196433,215711,55.5,412144
Seminole,Florida,FloridaSeminole,219935,235151,39.2,455086
Sumter,Florida,FloridaSumter,60725,60274,67,120999
Suwannee,Florida,FloridaSuwannee,22230,21694,42.5,43924
Taylor,Florida,FloridaTaylor,12414,9684,41.7,22098
Union,Florida,FloridaUnion,9919,5320,39.5,15239
Volusia,Florida,FloridaVolusia,257275,270359,46.5,527634
Wakulla,Florida,FloridaWakulla,17490,14387,40.7,31877
