,State_x,Area_name,First Word of Each County,# Employed,State_y,# Unemployed
254,CO,"Archuleta County, CO",Archuleta,6585.0,CO,538.0
255,CO,"Baca County, CO",Baca,2082.0,CO,50.0
256,CO,"Bent County, CO",Bent,1748.0,CO,80.0
257,CO,"Boulder County, CO",Boulder,180992.0,CO,11887.0
258,CO,"Broomfield County/city, CO",Broomfield,37556.0,CO,2670.0
259,CO,"Chaffee County, CO",Chaffee,9126.0,CO,615.0
260,CO,"Cheyenne County, CO",Cheyenne,1076.0,CO,27.0
261,CO,"Clear Creek County, CO",Clear,5628.0,CO,523.0
262,CO,"Conejos County, CO",Conejos,3844.0,CO,227.0
263,CO,"Costilla County, CO",Costilla,1691.0,CO,132.0
264,CO,"Crowley County, CO",Crowley,1445.0,CO,83.0
265,CO,"Custer County, CO",Custer,1982.0,CO,105.0
266,CO,"Delta County, CO",Delta,13400.0,CO,940.0
267,CO,"Denver County/city, CO",Denver,388924.0,CO,34900.0
268,CO,"Dolores County, CO",Dolores,1059.0,CO,78.0
269,CO,"Douglas County, CO",Douglas,183412.0,CO,11237.0
270,CO,"Eagle County, CO",Eagle,32319.0,CO,3389.0
271,CO,"Elbert County, CO",Elbert,14264.0,CO,697.0
272,CO,"El Paso County, CO",El,319084.0,CO,25036.0
273,CO,"Fremont County, CO",Fremont,14203.0,CO,1190.0
274,CO,"Garfield County, CO",Garfield,29606.0,CO,2156.0
275,CO,"Gilpin County, CO",Gilpin,3562.0,CO,454.0
276,CO,"Grand County, CO",Grand,8576.0,CO,788.0
277,CO,"Gunnison County, CO",Gunnison,10596.0,CO,751.0
278,CO,"Hinsdale County, CO",Hinsdale,408.0,CO,18.0
279,CO,"Huerfano County, CO",Huerfano,2395.0,CO,249.0
280,CO,"Jackson County, CO",Jackson,900.0,CO,40.0
281,CO,"Jefferson County, CO",Jefferson,310057.0,CO,23625.0
282,CO,"Kiowa County, CO",Kiowa,934.0,CO,22.0
283,CO,"Kit Carson County, CO",Kit,4130.0,CO,119.0
284,CO,"Lake County, CO",Lake,4454.0,CO,399.0
285,CO,"La Plata County, CO",La,29219.0,CO,2147.0
286,CO,"Larimer County, CO",Larimer,190842.0,CO,12841.0
287,CO,"Las Animas County, CO",Las,6014.0,CO,483.0
288,CO,"Lincoln County, CO",Lincoln,2269.0,CO,106.0
289,CO,"Logan County, CO",Logan,10495.0,CO,522.0
290,CO,"Mesa County, CO",Mesa,69917.0,CO,5634.0
291,CO,"Mineral County, CO",Mineral,442.0,CO,27.0
292,CO,"Moffat County, CO",Moffat,6849.0,CO,436.0
293,CO,"Montezuma County, CO",Montezuma,11795.0,CO,908.0
294,CO,"Montrose County, CO",Montrose,20208.0,CO,1431.0
295,CO,"Morgan County, CO",Morgan,15254.0,CO,871.0
296,CO,"Otero County, CO",Otero,7720.0,CO,508.0
297,CO,"Ouray County, CO",Ouray,2292.0,CO,201.0
298,CO,"Park County, CO",Park,10480.0,CO,634.0
299,CO,"Phillips County, CO",Phillips,2401.0,CO,66.0
300,CO,"Pitkin County, CO",Pitkin,10077.0,CO,1176.0
301,CO,"Prowers County, CO",Prowers,5937.0,CO,276.0
302,CO,"Pueblo County, CO",Pueblo,71037.0,CO,6318.0
303,CO,"Rio Blanco County, CO",Rio,2789.0,CO,160.0
304,CO,"Rio Grande County, CO",Rio,5068.0,CO,385.0
305,CO,"Routt County, CO",Routt,14929.0,CO,1277.0
306,CO,"Saguache County, CO",Saguache,3196.0,CO,242.0
307,CO,"San Juan County, CO",San,475.0,CO,34.0
308,CO,"San Miguel County, CO",San,4818.0,CO,592.0
309,CO,"Sedgwick County, CO",Sedgwick,1126.0,CO,40.0
310,CO,"Summit County, CO",Summit,20204.0,CO,2198.0
311,CO,"Teller County, CO",Teller,12016.0,CO,968.0
312,CO,"Washington County, CO",Washington,2804.0,CO,91.0
313,CO,"Weld County, CO",Weld,155042.0,CO,11624.0
314,CO,"Yuma County, CO",Yuma,5445.0,CO,159.0
315,CT,Connecticut,Connecticut,1724621.0,CT,148010.0
316,CT,"Fairfield County, CT",Fairfield,429164.0,CT,37044.0
317,CT,"Hartford County, CT",Hartford,437433.0,CT,38682.0
318,CT,"Litchfield County, CT",Litchfield,95102.0,CT,7007.0
319,CT,"Middlesex County, CT",Middlesex,86211.0,CT,6010.0
320,CT,"New Haven County, CT",New,420669.0,CT,36502.0
321,CT,"New London County, CT",New,119313.0,CT,12679.0
322,CT,"Tolland County, CT",Tolland,79362.0,CT,5236.0
323,CT,"Windham County, CT",Windham,57369.0,CT,4849.0
324,DE,Delaware,Delaware,446458.0,DE,37900.0
325,DE,"Kent County, DE",Kent,72843.0,DE,6872.0
326,DE,"New Castle County, DE",New,275601.0,DE,23039.0
327,DE,"Sussex County, DE",Sussex,98014.0,DE,7990.0
328,DC,District of Columbia,District,376839.0,DC,32895.0
329,DC,District of Columbia,District,376839.0,DC,32895.0
330,DC,District of Columbia,District,376839.0,DC,32895.0
331,DC,District of Columbia,District,376839.0,DC,32895.0
332,FL,Florida,Florida,9332838.0,FL,781491.0
333,FL,"Alachua County, FL",Alachua,127696.0,FL,7235.0
334,FL,"Baker County, FL",Baker,11179.0,FL,580.0
335,FL,"Bay County, FL",Bay,77746.0,FL,5017.0
336,FL,"Bradford County, FL",Bradford,10150.0,FL,641.0
337,FL,"Brevard County, FL",Brevard,262867.0,FL,18724.0
338,FL,"Broward County, FL",Broward,930297.0,FL,90289.0
339,FL,"Calhoun County, FL",Calhoun,4508.0,FL,246.0
340,FL,"Charlotte County, FL",Charlotte,65968.0,FL,5214.0
341,FL,"Citrus County, FL",Citrus,42582.0,FL,3918.0
342,FL,"Clay County, FL",Clay,100004.0,FL,5654.0
343,FL,"Collier County, FL",Collier,165287.0,FL,12210.0
344,FL,"Columbia County, FL",Columbia,27840.0,FL,1726.0
345,FL,"DeSoto County, FL",DeSoto,13615.0,FL,741.0
346,FL,"Dixie County, FL",Dixie,5565.0,FL,321.0
347,FL,"Duval County, FL",Duval,452481.0,FL,32633.0
348,FL,"Escambia County, FL",Escambia,135108.0,FL,9671.0
349,FL,"Flagler County, FL",Flagler,43083.0,FL,3553.0
350,FL,"Franklin County, FL",Franklin,4429.0,FL,252.0
351,FL,"Gadsden County, FL",Gadsden,17176.0,FL,1245.0
352,FL,"Gilchrist County, FL",Gilchrist,6683.0,FL,345.0
353,FL,"Glades County, FL",Glades,4903.0,FL,289.0
354,FL,"Gulf County, FL",Gulf,4724.0,FL,298.0
355,FL,"Hamilton County, FL",Hamilton,3880.0,FL,319.0
356,FL,"Hardee County, FL",Hardee,7915.0,FL,551.0
357,FL,"Hendry County, FL",Hendry,14332.0,FL,1257.0
358,FL,"Hernando County, FL",Hernando,65765.0,FL,5769.0
359,FL,"Highlands County, FL",Highlands,31967.0,FL,2674.0
360,FL,"Hillsborough County, FL",Hillsborough,700764.0,FL,53788.0
361,FL,"Holmes County, FL",Holmes,6472.0,FL,378.0
362,FL,"Indian River County, FL",Indian,59482.0,FL,4751.0
363,FL,"Jackson County, FL",Jackson,16298.0,FL,933.0
364,FL,"Jefferson County, FL",Jefferson,5049.0,FL,298.0
365,FL,"Lafayette County, FL",Lafayette,2664.0,FL,117.0
366,FL,"Lake County, FL",Lake,140383.0,FL,13645.0
367,FL,"Lee County, FL",Lee,320161.0,FL,25256.0
368,FL,"Leon County, FL",Leon,141883.0,FL,8743.0
369,FL,"Levy County, FL",Levy,15568.0,FL,1001.0
370,FL,"Liberty County, FL",Liberty,2473.0,FL,125.0
371,FL,"Madison County, FL",Madison,7140.0,FL,459.0
372,FL,"Manatee County, FL",Manatee,164571.0,FL,11925.0
373,FL,"Marion County, FL",Marion,128709.0,FL,9760.0
374,FL,"Martin County, FL",Martin,67796.0,FL,4384.0
375,FL,"Miami-Dade County, FL",Miami-Dade,1188173.0,FL,103681.0
376,FL,"Monroe County, FL",Monroe,41223.0,FL,3532.0
377,FL,"Nassau County, FL",Nassau,38991.0,FL,2347.0
378,FL,"Okaloosa County, FL",Okaloosa,90729.0,FL,5281.0
379,FL,"Okeechobee County, FL",Okeechobee,16217.0,FL,921.0
380,FL,"Orange County, FL",Orange,659050.0,FL,78496.0
381,FL,"Osceola County, FL",Osceola,160638.0,FL,25155.0
382,FL,"Palm Beach County, FL",Palm,662945.0,FL,54434.0
383,FL,"Pasco County, FL",Pasco,221185.0,FL,17142.0
384,FL,"Pinellas County, FL",Pinellas,450266.0,FL,34064.0
385,FL,"Polk County, FL",Polk,287979.0,FL,28647.0
386,FL,"Putnam County, FL",Putnam,24378.0,FL,2092.0
387,FL,"St. Johns County, FL",St.,126772.0,FL,7071.0
388,FL,"St. Lucie County, FL",St.,134060.0,FL,11303.0
389,FL,"Santa Rosa County, FL",Santa,78348.0,FL,4299.0
390,FL,"Sarasota County, FL",Sarasota,171875.0,FL,12589.0
391,FL,"Seminole County, FL",Seminole,220602.0,FL,17167.0
392,FL,"Sumter County, FL",Sumter,29691.0,FL,2534.0
393,FL,"Suwannee County, FL",Suwannee,16758.0,FL,1000.0
394,FL,"Taylor County, FL",Taylor,7659.0,FL,510.0
395,FL,"Union County, FL",Union,4336.0,FL,216.0
396,FL,"Volusia County, FL",Volusia,230585.0,FL,18975.0
397,FL,"Wakulla County, FL",Wakulla,14216.0,FL,669.0
398,FL,"Walton County, FL",Walton,30070.0,FL,1887.0
399,FL,"Washington County, FL",Washington,8929.0,FL,549.0
400,GA,Georgia,Georgia,4741191.0,GA,330964.0
401,GA,"Appling County, GA",Appling,8674.0,GA,431.0
402,GA,"Atkinson County, GA",Atkinson,4262.0,GA,172.0
403,GA,"Bacon County, GA",Bacon,4425.0,GA,227.0
404,GA,"Baker County, GA",Baker,1076.0,GA,69.0
405,GA,"Baldwin County, GA",Baldwin,16388.0,GA,1219.0
406,GA,"Banks County, GA",Banks,9359.0,GA,419.0
407,GA,"Barrow County, GA",Barrow,38057.0,GA,2055.0
408,GA,"Bartow County, GA",Bartow,46612.0,GA,3107.0
409,GA,"Ben Hill County, GA",Ben,5083.0,GA,377.0
410,GA,"Berrien County, GA",Berrien,6977.0,GA,428.0
411,GA,"Bibb County, GA",Bibb,62371.0,GA,5050.0
412,GA,"Bleckley County, GA",Bleckley,4209.0,GA,292.0
413,GA,"Brantley County, GA",Brantley,6618.0,GA,377.0
414,GA,"Brooks County, GA",Brooks,6488.0,GA,354.0
415,GA,"Bryan County, GA",Bryan,17732.0,GA,986.0
416,GA,"Bulloch County, GA",Bulloch,34601.0,GA,2419.0
417,GA,"Burke County, GA",Burke,8379.0,GA,647.0
418,GA,"Butts County, GA",Butts,10075.0,GA,664.0
419,GA,"Calhoun County, GA",Calhoun,2124.0,GA,113.0
420,GA,"Camden County, GA",Camden,20092.0,GA,997.0
421,GA,"Candler County, GA",Candler,5383.0,GA,250.0
