County,Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass
Bristol,3,0,0,0,0,0,0,6,0,5,2,0,0,0,0,0,2,0,0,0,0,5,37,0,0,0
BristolBay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
BristolCity,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadwater,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,3,0,0,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,0,0,48,0,0,0,0
Brookings,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Broome,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Broward,0,0,0,0,0,0,0,4,1,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brown,0,0,0,0,0,0,0,3,0,0,5,0,6,0,0,0,3,0,0,2,0,14,0,0,0,0
Brule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Brunswick,0,0,0,0,0,0,0,35,0,4,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2
Bryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Buchanan,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
Buckingham,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bucks,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
BuenaVista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0
Buffalo,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bulloch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Buncombe,1,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bureau,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Burke,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,12,6,0,0,0
Burleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Burlington,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Burnet,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnett,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Burt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Butler,0,0,2,0,0,0,0,0,0,2,21,16,4,0,0,0,1,1,0,0,0,8,1,0,0,0
Butte,1,0,22,0,0,0,6,1,0,0,1,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0
Cabarrus,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Cabell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cache,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caddo,0,0,0,0,0,0,0,0,0,6,7,0,9,0,0,0,3,0,0,0,0,1,3,0,0,0
Calaveras,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcasieu,0,0,0,1,0,0,0,0,0,6,7,2,3,0,0,0,0,3,0,1,2,0,0,0,0,0
Caldwell,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Caledonia,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Calhoun,1,0,5,0,0,0,0,4,0,13,11,4,9,0,0,0,0,0,0,0,1,1,7,0,0,0
Callaway,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
Calvert,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0
Cambria,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Camden,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0
Cameron,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0
Campbell,0,0,5,6,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Canadian,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0
Candler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Canyon,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CapeGirardeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CapeMay,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Carbon,0,0,7,2,0,0,0,0,0,0,0,3,0,0,0,0,8,2,0,0,0,1,2,0,0,0
Caribou,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlton,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3
Caroline,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,12,4,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,11,0,0,0,1
